TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FLOW
CO2 emissions from fuel combustion,20525937,20652968,20592265,20704727,20805248,21381247,21829434,22229964,22404430,22545431,23245137,23587027,23920022,24949432,26124965,27082895,27951073,28998076,29211005,28781032,30579250,31463412,31806773,32413035,32488964,32349211,32383203,32918522,33721185,33577700,31665445
Electricity and heat production,7638928,7785434,7923925,7942981,8019646,8175964,8515184,8735057,8912826,8986909,9369459,9573968,9704282,10257550,10633703,10981331,11420583,11911834,11915753,11724833,12510440,13107125,13389676,13622482,13681722,13380930,13435593,13739860,14187574,14068404,13568194
Other energy industry own use,970452,964673,985033,1013507,1034892,1067491,1084497,1138795,1184760,1169144,1196246,1244846,1300445,1363254,1373940,1406460,1461225,1535329,1555065,1536102,1649732,1659782,1674554,1714028,1597758,1637050,1590809,1618899,1620213,1678658,1542553
Manufacturing industries and construction,3955532,3878286,3745436,3695921,3712412,3938985,3829039,3854790,3854498,3696842,3872497,3895323,3890094,4075800,4506901,4924035,5167867,5441384,5555028,5537516,6079916,6310179,6331648,6358371,6424915,6286109,6130388,6067401,6206350,6210306,6180450
 Mining and quarrying,73549,67147,65676,65334,66094,70627,71153,71383,73279,66611,69985,72026,79191,84222,91301,92730,106625,110107,115614,106840,115644,121106,129382,131947,130511,130732,123190,120931,126252,132068,121760
 Construction,93935,74849,69590,69121,65640,65648,68192,62704,63758,62308,64107,67336,81514,80270,85734,88643,108977,105674,101946,93684,85287,106757,111253,117743,118509,126274,131479,134973,147598,144282,144983
 Manufacturing,2703775,2660992,2557579,2553085,2623479,3113648,3005071,2978730,2962686,2819785,3039300,3037122,2973978,3120644,3533194,3741880,3886469,4161950,4249658,4237395,4629044,4886111,4864822,4927383,5036497,4936346,4824009,4749592,4891194,4868769,4843331
  Iron and steel,895939,851130,806954,786123,794637,929989,848992,875618,869731,819989,912672,903188,888832,952737,1044823,1127423,1193133,1336956,1399305,1450086,1619818,1784394,1857017,1940555,2044912,1949673,1933574,1949144,2098998,2167785,2137138
  Chemical and petrochemical,549330,557415,518530,531373,559711,634055,640840,596752,576121,552857,637098,622935,586095,597433,676901,713987,730752,775279,766518,747541,862022,897108,871998,866170,869659,933682,873360,856966,863835,837180,845825
