ARG,Other Latin America
AUS,Other OECD Pacific
BRA,Brazil
CAN,Canada
CHN,China
IDN,Other developing Asia
IND,India
JPN,Japan
KOR,Other OECD Pacific
MEX,Mexico
MYS,Other developing Asia
NZL,Other OECD Pacific
RUS,Russia
THA,Other developing Asia
TUR,Other OECD Europe
USA,United States
VNM,Other developing Asia
XAF,Other Africa
XCS,Other economies in transition
XE10,Other OECD Europe
XE15,OECD Europe
XE3,Other economies in transition
XEA,Other developing Asia
XEEI,Other economies in transition
XENI,Other OECD Europe
XEWI,Other OECD Europe
XLM,Other Latin America
XME,Middle East
XNF,Other Africa
XOC,Other developing Asia
XSA,Other developing Asia
XSE,Other developing Asia
ZAF,South Africa
