PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Peat products,Oil shale and oil sands,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Bio jet kerosene,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
COUNTRY
World,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-3960651,-108558,-146079,-6673,-30541,149090,96,137947,1054471,948,0,313610,61299,1356279,426577,286832,8533,37104,104907,3203,98539,116698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96369,0
OECD Americas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-942728,-22103,-35142,-1066,-26755,25468,85,13999,434543,550,0,88579,1653,280972,39756,16308,1598,9717,24330,235,49474,15017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25511,0
OECD Asia Oceania,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-343002,-6694,-17297,0,-231,15335,0,8400,74356,60,0,39896,16269,107213,32256,49155,553,4888,8258,71,1665,5654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3197,0
OECD Europe,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-608504,-5824,-51407,-2771,-1699,26276,11,18328,128846,123,0,38576,12440,261478,75001,42519,1069,7226,20130,529,9431,21757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6467,0
Africa,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-100057,-4745,-1814,0,0,1932,0,2400,19288,2,0,7175,1393,33195,22675,10485,103,502,1308,10,375,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4530,0
Non-OECD Americas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-209980,-5850,-14279,-387,-1292,8161,0,7290,50024,73,0,12092,316,72354,45734,7906,417,1399,4017,57,7159,9670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5117,0
Middle East,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-349477,-36723,-1611,-1802,0,8288,0,6515,59854,8,0,30380,17341,118879,82034,41635,407,2348,7004,1,0,4755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10165,0
Non-OECD Europe and Eurasia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-341310,-26323,-2663,-231,-562,21468,0,28858,61920,11,0,15018,187,107986,72176,28487,1939,4198,9196,172,3657,2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13393,0
Non-OECD Asia (excluding China),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-512170,-296,-20053,-415,0,22664,0,18533,92449,120,0,43006,9938,194073,38386,47406,309,5517,10437,100,11867,23914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14213,0
