FLOW,Production,Imports,Exports,International marine bunkers,International aviation bunkers,Stock changes,Total energy supply,   Transfers,   Statistical differences,   Main activity producer electricity plants,   Autoproducer electricity plants,   Main activity producer CHP plants,   Autoproducer CHP plants,   Main activity producer heat plants,   Autoproducer heat plants,   Heat pumps,   Electric boilers,   Chemical heat for electricity production,   Blast furnaces,   Gas works,   Coke ovens,   Patent fuel plants,   BKB/peat briquettes plants,   Oil refineries,   Petrochemical plants,   Liquefaction plants,   Other transformation,   Energy industry own use,   Losses,   Total final consumption,      Industry,         Mining and quarrying,         Construction,         Manufacturing,            Iron and steel,            Chemical and petrochemical,            Non-ferrous metals,            Non-metallic minerals,            Transport equipment,            Machinery,            Food and tobacco,"            Paper, pulp and printing",            Wood and wood products,            Textile and leather,         Industry not elsewhere specified,      Transport,         World aviation bunkers,         Domestic aviation,         Road,         Rail,         Pipeline transport,         World marine bunkers,         Domestic navigation,         Transport not elsewhere specified,      Residential,      Commercial and public services,      Agriculture/forestry,      Fishing,      Final consumption not elsewhere specified,      Non-energy use,         Non-energy use industry/transformation/energy,            Memo: Non-energy use in industry,               Memo: Non-energy use in construction,               Memo: Non-energy use in mining and quarrying,               Memo: Non-energy use in iron and steel,               Memo: Non-energy use in chemical/petrochemical,               Memo: Non-energy use in non-ferrous metals,               Memo: Non-energy use in non-metallic minerals,               Memo: Non-energy use in transport equipment,               Memo: Non-energy use in machinery,               Memo: Non-energy use in food/beverages/tobacco,               Memo: Non-energy use in paper/pulp and printing,               Memo: Non-energy use in wood and wood products,               Memo: Non-energy use in textiles and leather,               Memo: Non-energy use in industry not elsewhere specified,         Non-energy use in transport,         Non-energy use in other sectors,Electricity output (GWh),   Electricity output (GWh)-main activity producer electricity plants,   Electricity output (GWh)-autoproducer electricity plants,   Electricity output (GWh)-main activity producer CHP plants,   Electricity output (GWh)-autoproducer CHP plants,Heat output,   Heat output-main activity producer CHP plants,   Heat output-autoproducer CHP plants,   Heat output-main activity producer heat plants,   Heat output-autoproducer heat plants, Memo: Efficiency of electricity only plants (main and auto) (%), Memo: Efficiency of electricity and heat plants (%)
COUNTRY
World,0,1396839,-1488672,x,x,3316,-88517,261068,9542,-119761,-26377,-6331,-9153,-1729,-8135,0,0,0,-44,-2817,-2430,-55,0,4269234,-36003,0,-633,-199045,-313,4038502,290436,24203,35934,126921,6741,52560,3557,39377,2292,5275,8530,3638,2130,2822,103378,2650434,201618,135399,1999004,32734,285,220255,56842,4296,218297,79180,111062,6151,21307,661634,612238,..,..,..,..,457993,..,..,..,..,..,..,..,..,..,10179,39218,682224,513659,114903,18614,35048,12880,2616,2159,1327,6778,37,42
OECD Americas,0,155240,-249771,-23148,-31124,293,-148510,124315,21744,-15683,-1789,-549,-2011,0,0,0,0,0,-1,-780,0,0,0,1018631,-34,0,0,-51552,0,943780,36549,6816,13609,10930,290,2702,271,4603,280,608,529,683,963,0,5194,702325,x,66590,608298,16694,14,x,10632,97,23761,14665,23392,237,0,142851,132643,131888,20675,369,696,98515,0,132,728,1290,0,13,707,0,8764,4544,5664,85484,64508,7402,4708,8866,768,768,0,0,0,35,41
OECD Asia Oceania,0,120355,-96587,-15183,-19804,-1112,-12331,1159,-4279,-7557,-5315,-213,-1441,-182,-42,0,0,0,0,-1616,-451,0,0,365180,-16373,0,0,-17509,0,299030,25502,2876,2823,17734,1317,9324,700,2655,475,756,1299,819,131,258,2068,145927,x,8449,131704,1436,3,x,4152,183,14976,13176,6141,2088,1607,89614,87553,87553,2224,3,28,80830,789,6,0,1,0,7,0,1,3664,875,1186,67460,35491,26115,319,5534,1123,163,892,29,39,41,47
OECD Europe,0,384275,-370650,-43837,-58029,2779,-85462,-5741,-2906,-5439,-837,-4020,-2838,-559,-95,0,0,0,-43,-134,-294,-55,0,668595,-16477,0,-3,-30940,-10,512742,31012,1044,5209,22635,603,8261,401,9051,370,1066,1707,719,237,220,2125,327489,x,8837,310249,1897,0,x,6170,336,31885,14686,18433,1715,1865,85657,82945,82892,15760,34,53,62191,432,551,60,423,36,36,19,26,3269,2094,618,50688,24806,3192,11252,11437,1937,990,405,477,66,38,46
Africa,0,118170,-37518,-5258,-8842,2153,68704,19411,1699,-16678,-891,0,0,0,0,0,0,0,0,0,0,0,0,102913,-15,0,0,-3355,-207,171580,17178,2441,1202,2790,15,85,110,1938,20,28,491,32,3,68,10746,121856,x,2636,117342,747,18,x,1100,13,14461,1534,4567,123,2719,9143,8768,..,..,..,..,895,..,..,..,..,..,..,..,..,..,174,201,63898,60827,3071,0,0,0,0,0,0,0,31,31
Non-OECD Americas,0,98970,-46055,-13275,-9712,1125,31053,5416,-203,-16210,-3134,0,-795,0,0,0,0,0,0,-15,-1685,0,0,203752,-2873,0,0,-11976,-67,203264,20617,2405,374,8878,325,2316,1138,3491,1,1,899,633,12,62,8959,132372,x,5010,123838,1044,0,x,1836,644,13602,2898,10855,51,2780,20088,20037,..,..,..,..,9615,..,..,..,..,..,..,..,..,..,45,6,90809,73443,13325,0,4041,0,0,0,0,0,39,39
Middle East,0,96504,-252211,-25304,-17792,2067,-196736,104714,-253,-38849,-3208,0,0,0,0,0,0,0,0,0,0,0,0,391944,0,0,-598,-13874,0,243141,36348,116,317,564,0,375,0,91,88,0,10,0,0,0,35351,134017,x,2355,131621,0,31,x,0,11,13101,1221,2915,0,1134,54404,54245,..,..,..,..,44726,..,..,..,..,..,..,..,..,..,11,147,202950,174639,28311,0,0,0,0,0,0,0,41,41
Non-OECD Europe and Eurasia,0,41260,-165095,-18473,-8859,38,-151128,2093,514,-1310,-1109,-1533,-1617,-258,-4300,0,0,0,0,0,0,0,0,364369,-231,0,-32,-8117,-16,197324,14509,2453,2832,6158,1204,1182,81,1827,201,183,976,230,213,63,3064,106785,x,6549,95513,3214,220,x,637,652,18549,3704,6640,795,4133,42209,40802,..,..,..,..,20173,..,..,..,..,..,..,..,..,..,233,1174,15987,5704,4177,2290,3817,5189,691,767,200,3530,35,65
Non-OECD Asia (excluding China),0,291067,-206240,-54316,-30404,-350,-243,3426,8395,-17777,-7788,-15,-451,0,0,0,0,0,0,0,0,0,0,546766,0,0,0,-25004,0,507309,63040,3826,2786,30294,2147,12059,141,10093,233,1290,1982,230,397,1721,26135,267297,x,11053,244476,4486,0,x,7028,254,44086,10907,19235,1143,7069,94531,94440,..,..,..,..,65445,..,..,..,..,..,..,..,..,..,88,2,93912,73217,19297,45,1353,99,4,95,0,0,31,31
