,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
Production,1960,40795,0,0,510,0,645,0,5030,0,0,0,0,0,0,46980,5030,40795,510,0
Production,1961,42436,0,0,650,0,987,0,5847,0,0,0,0,0,0,49920,5847,42436,650,0
Production,1962,40748,0,0,752,0,1260,0,5365,0,0,0,0,0,0,48126,5365,40748,752,0
Production,1963,38781,0,0,779,0,1706,0,5930,0,0,0,0,0,0,47196,5930,38781,779,0
Production,1964,39574,0,0,656,0,1855,0,5913,0,0,0,0,0,0,47998,5913,39574,656,0
Production,1965,39185,0,0,613,0,1799,0,6541,0,0,0,0,0,0,48138,6541,39185,613,0
Production,1966,39356,0,0,688,0,1881,156,6823,0,0,0,0,0,0,48905,6823,39356,688,0
Production,1967,36206,0,0,662,0,1988,156,5894,0,0,0,0,0,0,44906,5894,36206,662,0
Production,1968,35467,0,0,635,0,2130,261,6316,0,0,0,0,0,0,44809,6316,35467,635,0
Production,1969,32597,0,0,627,0,2309,287,6479,0,0,0,0,0,0,42299,6479,32597,627,0
Production,1970,28708,0,0,870,0,2081,1199,6483,0,0,0,0,0,0,39341,6483,28708,870,0
Production,1971,23463,0,0,852,0,2146,2084,7240,0,0,0,0,0,0,35785,7240,23463,852,0
Production,1972,19821,0,0,814,0,2183,2475,7317,0,0,0,0,0,0,32611,7317,19821,814,0
Production,1973,17903,0,0,812,0,2289,2529,5742,231,0,0,0,0,0,29506,5973,17903,812,231
Production,1974,15262,0,0,777,0,2269,5133,7109,86,0,0,0,0,0,30635,7195,15262,777,86
Production,1975,13263,0,0,704,0,2149,6547,7172,86,0,0,0,0,0,29919,7258,13263,704,86
Production,1976,13852,0,0,694,0,2199,8880,7187,172,0,0,0,0,0,32984,7359,13852,694,172
Production,1977,14002,0,0,708,0,2473,8249,6274,258,0,0,0,0,0,31964,6532,14002,708,258
Production,1978,11180,0,0,660,0,2329,15455,6023,516,0,0,0,0,0,36163,6539,11180,660,516
Production,1979,10582,0,0,613,0,2129,18342,6943,774,0,0,0,0,0,39383,7717,10582,613,774
Production,1980,10904,0,0,560,0,1938,21520,7592,774,0,0,0,0,0,43287,8366,10904,560,774
Production,1981,10956,0,0,524,0,1854,22882,7532,770,0,0,0,0,0,44519,8302,10956,524,770
Production,1982,10845,0,0,493,0,1805,26689,7017,1095,0,3839,0,0,0,51783,11891,10845,493,1095
Production,1983,10499,0,0,515,0,1839,29780,7246,1241,0,4055,0,0,0,55175,12470,10499,515,1241
Production,1984,10199,0,0,506,0,1881,34984,6158,1166,0,4397,0,0,0,59291,11631,10199,506,1166
Production,1985,9901,0,0,636,0,1962,41580,7126,1285,0,4552,0,0,0,67040,12862,9901,636,1285
Production,1986,9652,0,0,734,0,1857,43853,6949,1190,0,4636,0,0,0,68871,12657,9652,734,1190
Production,1987,7597,0,0,720,0,1912,48922,6431,1212,1,4852,0,0,0,71646,12372,7597,720,1213
Production,1988,6474,0,0,713,0,1849,46551,7764,1168,0,5185,0,0,0,69705,13977,6474,713,1168
Production,1989,5865,0,0,672,0,1772,47648,7888,1186,0,5481,0,0,0,70511,14400,5865,672,1186
Production,1990,4469,0,0,556,0,1918,52704,7558,1576,1174,4544,0,0,..,74497,14824,4469,556,2750
Production,1991,4438,0,0,803,0,2015,55619,8179,1632,1134,4566,0,0,..,78386,15478,4438,803,2766
Production,1992,4254,0,0,835,0,1996,58172,6962,1644,1084,4474,0,0,..,79421,14127,4254,835,2728
Production,1993,4032,0,0,766,0,2062,64946,8029,1632,1059,4259,0,0,..,86786,14943,4032,766,2691
Production,1994,3773,0,0,734,0,2087,70123,5547,1900,1040,4316,0,0,..,89520,12767,3773,734,2940
Production,1995,3535,0,0,736,0,2047,75889,6774,2936,1015,4489,0,0,..,97421,15174,3535,736,3951
Production,1996,3450,0,0,709,0,2033,78741,6510,3403,968,5017,0,0,..,100832,15343,3450,709,4372
Production,1997,2222,0,0,712,0,2125,83165,7319,3481,971,5312,0,0,..,105307,16378,2222,712,4452
Production,1998,2070,0,0,653,0,2111,86595,7551,3272,861,4975,0,0,..,108087,15948,2070,653,4133
