TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
COUNTRY
World,..,..,..,..,..,..,..,..,..,..,..,102374,117807,131999,131475,119788,136951,145989,152409,158213,144984,143261,135381,141372,151383,149163,156518,165262,179493,179338,208052,216146,224411,220843,232501,261616,273913,291032,281250,296656,303988,306300,317108,329915,352045,345843,357920,366761,354612,368047,393551,373779,390392,388765,418901,420534,425748,445363,457993,..
OECD Americas,..,..,..,..,..,..,..,..,..,..,..,39514,43855,48893,49107,51290,59179,66106,65336,63856,62689,65626,57253,58709,61686,52956,56933,58224,61322,59325,69396,74227,74454,75667,76558,88936,94898,96554,88889,97730,97599,92411,95489,96495,105453,100026,100951,99297,90937,88524,95848,84588,92798,86788,97583,87409,88322,92678,98515,..
OECD Asia Oceania,..,..,..,..,..,..,..,..,..,..,..,25738,28117,30215,28978,23621,26986,28022,29981,31105,23821,20476,19450,18964,21180,21836,23461,24781,26498,27654,30260,32400,36703,37104,39695,42557,44338,49160,49462,52691,51729,51055,53532,56539,58049,59084,61176,64261,59485,65286,65930,66822,71372,73496,74661,77799,79241,83658,80830,..
OECD Europe,..,..,..,..,..,..,..,..,..,..,..,31895,37040,43139,42460,33003,38201,37794,41407,46144,43266,40080,40213,43656,46294,47267,48526,51713,56677,55612,53101,54348,55037,51302,57462,64074,62327,65383,66516,64433,65007,65742,66589,67284,67409,67414,68066,67617,65076,61554,64134,60707,60471,58572,60786,58778,59269,65499,62191,..
Africa,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,1,6,471,463,465,652,839,1375,1491,1420,1466,1495,1423,1529,1860,2394,2499,2413,1297,1195,1358,1304,1599,1285,1809,1755,1596,1623,1566,1107,882,850,909,1006,1870,2388,1383,2475,1365,1062,525,564,657,895,..
Non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,833,1405,1684,1783,1684,1861,1897,2734,3056,2954,3214,4069,4637,4884,5672,6024,6714,6829,6814,6977,7229,7610,7284,8808,8606,8235,9654,10019,11272,11371,10989,9896,10735,11358,11179,11224,11618,11303,11276,11703,11045,11544,10381,10507,10660,10351,10587,9615,..
Middle East,..,..,..,..,..,..,..,..,..,..,..,854,979,986,1405,1749,1387,1686,1578,1886,1010,595,675,919,945,949,1147,1146,1186,1898,6649,7178,9318,10052,8838,9593,11211,11899,13730,13514,13842,15256,15491,15114,17677,18471,20399,20014,24733,27260,29488,28404,33695,32368,34487,41931,40484,42482,44726,..
Non-OECD Europe and Eurasia,..,..,..,..,..,..,..,..,..,..,..,1794,4424,4734,4771,4910,5057,4927,4972,5127,3626,3789,2627,2855,4380,4387,4253,4653,6042,5927,17406,15569,15642,14533,11134,14337,14479,14152,9622,13306,12940,14329,14450,15593,16181,16442,16706,16577,17303,20833,27188,15435,14852,17984,18383,18741,19756,19669,20173,..
Non-OECD Asia (excluding China),..,..,..,..,..,..,..,..,..,..,..,1746,1987,2348,2541,3045,3780,4107,4820,5004,4759,6146,6793,6796,7108,7972,8785,8555,9374,9007,9073,8861,9092,10337,12884,15823,17784,19396,17729,19770,24497,29464,32282,35683,41345,40569,43665,49379,46585,50546,51928,51791,53187,55593,56504,58868,60024,61049,65445,..
"China (P.R. of China and Hong Kong, China)",..,..,..,..,..,..,..,..,..,..,..,0,0,0,430,484,494,978,1118,1569,2206,2497,2927,3346,3487,6659,5894,8053,10036,11242,12795,13835,14141,13267,15927,16332,19335,23234,23997,22132,25249,25458,27755,30905,33466,31776,34884,37090,38185,40897,44944,53604,49998,52219,64929,65823,67737,69083,75604,..
World marine bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
World aviation bunkers,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Albania,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,430,391,386,222,290,214,285,96,408,497,292,456,407,345,80,80,137,269,283,205,100,80,48,317,27,82,60,71,..
Angola,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,6,6,5,8,5,6,8,13,12,17,14,9,17,17,17,19,16,11,13,11,9,4,10,10,16,17,14,16,20,20,19,26,24,31,38,34,30,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,810,817,736,704,627,721,609,1000,988,1007,908,1189,1137,1131,1214,1281,1354,1604,1304,1350,1792,2003,1487,2315,2217,2169,2193,2497,1935,1605,1431,1718,2054,2390,1916,1870,1875,2616,2125,2311,1751,1912,1568,2237,1553,1778,1876,1882,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Australia,530,636,643,949,955,1171,1178,1186,1394,1405,1215,1227,1177,1268,927,967,930,1074,1119,1061,1257,1159,1123,953,1179,1288,1322,1149,1629,1648,1856,1889,1893,2105,2114,2203,2229,1989,2072,2085,2115,2207,1185,1694,1961,2087,1978,2055,2004,1892,1441,2183,2596,2432,2498,2112,2382,2306,2291,..
Austria,24,18,67,30,42,35,55,80,92,125,136,142,180,221,199,313,87,68,203,353,360,354,332,431,521,511,484,573,587,688,513,529,722,623,641,562,661,838,689,704,653,716,708,711,800,578,819,845,805,860,817,742,960,968,962,928,948,773,961,..
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,715,922,1101,1022,1025,769,889,855,1200,605,625,507,614,463,732,717,599,244,378,256,276,339,330,388,453,552,545,723,782,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,123,79,73,2,2,0,0,1,2,2,2,0,8,8,8,5,2,1,0,0,0,0,0,0,0,0,..
